game_id,home_team,away_team,home_points,away_points,total_points,margin,provider,closing_spread,ats_result,closing_ou,ou_result,home_ml,ml_result
401907643,Slippery Rock,Minnesota Duluth,45,43,88,2,none,,,,,,
401896383,Morehead State,Ohio Dominican,40,42,82,-2,none,,,,,,
401867894,Youngstown State,Mercyhurst,43,10,53,33,Draft Kings,-30.5,home_cover,57.5,under,,home_win
401906048,Tusculum,Bluefield State,42,7,49,35,none,,,,,,
401907195,Indianapolis,Marian (IN),39,7,46,32,none,,,,,,
401907002,Charleston (WV),Grand Valley State,10,38,48,-28,none,,,,,,
401906839,Kentucky Christian,Kentucky Wesleyan,44,24,68,20,none,,,,,,
401866615,Delaware State,Stony Brook,41,34,75,7,Draft Kings,4.5,home_cover,50.5,over,,home_win
401866532,Towson,Maine,18,21,39,-3,Draft Kings,-2.5,away_cover,46.5,under,,away_win
401906193,UNC Pembroke,Wingate,21,13,34,8,none,,,,,,
401906139,Virginia State,Barton,44,17,61,27,none,,,,,,
401868962,Nicholls,Mississippi Valley State,44,10,54,34,Draft Kings,-28.5,home_cover,51.5,over,,home_win
401906993,Bemidji State,Michigan Tech,29,31,60,-2,none,,,,,,
401907381,Nebraska Kearney,Wayne State (NE),20,21,41,-1,none,,,,,,
401874035,West Florida,Southern Illinois,34,31,65,3,Draft Kings,19.5,home_cover,55.5,over,,home_win
401907239,Southwest Baptist,William Woods,63,6,69,57,none,,,,,,
401907110,Sioux Falls,Black Hills State,21,24,45,-3,none,,,,,,
401896384,Davidson,Concord,35,41,76,-6,none,,,,,,
401906620,West Liberty,Walsh,27,30,57,-3,none,,,,,,
401906902,Saginaw Valley State,McKendree,48,24,72,24,none,,,,,,
401906631,Carson Newman,Tiffin,41,38,79,3,none,,,,,,
401906602,Valdosta State,Emory & Henry,38,10,48,28,none,,,,,,
401907356,Minot State,Emporia State,30,36,66,-6,none,,,,,,
401868060,Austin Peay,Gardner-Webb,35,17,52,18,Draft Kings,-14.5,home_cover,59.5,under,,home_win
401868279,St. Thomas (MN),Winona State,15,9,24,6,none,,,,,,
401907346,Texas Wesleyan,Central Oklahoma,7,59,66,-52,none,,,,,,
401907120,Northern State,Chadron State,42,17,59,25,none,,,,,,
401868169,Lindenwood,Charleston Southern,20,17,37,3,Draft Kings,-7.5,away_cover,45.5,under,,home_win
401868240,West Georgia,Chattanooga,10,24,34,-14,Draft Kings,3.5,away_cover,50.5,under,,away_win
401868204,Western Illinois,Northwestern (IA),65,14,79,51,none,,,,,,
401868273,Presbyterian,UVA Wise,47,37,84,10,none,,,,,,
401868315,SE Louisiana,Houston Christian,28,34,62,-6,Draft Kings,-24.5,away_cover,51.5,over,,away_win
401866614,Elon,Glenville State,42,7,49,35,none,,,,,,
401907536,Seton Hill,East Stroudsburg,20,27,47,-7,none,,,,,,
401868373,Furman,Anderson (SC),20,3,23,17,none,,,,,,
401906943,Minnesota St Moorhead,Northern Michigan,41,19,60,22,none,,,,,,
401867865,Murray State,Eastern Illinois,14,28,42,-14,Draft Kings,-4.5,away_cover,49.5,under,,away_win
401868254,Drake,South Dakota Mines,35,38,73,-3,none,,,,,,
401868070,UT Martin,Central Arkansas,24,36,60,-12,Draft Kings,-3.0,away_cover,50.5,over,,away_win
401907234,Concordia St. Paul,Quincy,38,21,59,17,none,,,,,,
401907155,New Mexico Highlands,Eastern New Mexico,35,34,69,1,none,,,,,,
401907099,Adams State,Western New Mexico,45,62,107,-17,none,,,,,,
401907161,West Texas,Western Colorado,21,52,73,-31,none,,,,,,
401907129,Colorado Mesa,Minnesota State,14,38,52,-24,none,,,,,,
401869128,Northwestern State,Louisiana Christian,37,42,79,-5,none,,,,,,
401867874,North Dakota,Long Island University,42,21,63,21,Draft Kings,-27.5,away_cover,44.5,over,,home_win
401907275,Angelo State,Fort Hays,14,35,49,-21,none,,,,,,
401907007,Pittsburg State,Ferris State,14,42,56,-28,none,,,,,,
401907144,CSU Pueblo,Central Missouri,44,25,69,19,none,,,,,,
401907376,Missouri Western,Augustana (SD),58,63,121,-5,none,,,,,,
401907724,Southwest Minnesota State,Valley City State,10,7,17,3,none,,,,,,
401907702,University of Mary,Rocky Mountain,10,23,33,-13,none,,,,,,
401866617,Merrimack,Rhode Island,7,34,41,-27,Draft Kings,21.0,away_cover,47.5,under,,away_win
401866617,Merrimack,Rhode Island,7,34,41,-27,DraftKings,20.5,away_cover,47.5,under,890.0,away_win
401868007,Fordham,Colgate,14,24,38,-10,Draft Kings,8.5,away_cover,55.5,under,,away_win
401868007,Fordham,Colgate,14,24,38,-10,DraftKings,8.5,away_cover,55.5,under,242.0,away_win
401906145,Lenoir Rhyne,Virginia Union,45,3,48,42,none,,,,,,
401868040,Villanova,William & Mary,32,35,67,-3,Draft Kings,-12.5,away_cover,47.5,over,,away_win
401868040,Villanova,William & Mary,32,35,67,-3,DraftKings,-12.5,away_cover,47.5,over,-700.0,away_win
401868261,New Haven,Marist,22,21,43,1,Draft Kings,-2.5,away_cover,46.5,under,,home_win
401868261,New Haven,Marist,22,21,43,1,DraftKings,-2.5,away_cover,46.5,under,-145.0,home_win
401866616,UAlbany,New Hampshire,28,14,42,14,Draft Kings,10.0,home_cover,46.5,under,,home_win
401866616,UAlbany,New Hampshire,28,14,42,14,DraftKings,10.0,home_cover,46.5,under,268.0,home_win
401868129,Northern Colorado,Weber State,29,30,59,-1,Draft Kings,-3.0,away_cover,50.5,over,,away_win
401868129,Northern Colorado,Weber State,29,30,59,-1,DraftKings,-3.0,away_cover,50.5,over,-161.0,away_win
401868073,Cal Poly,Idaho,38,34,72,4,Draft Kings,5.5,home_cover,53.5,over,,home_win
401868073,Cal Poly,Idaho,38,34,72,4,DraftKings,5.5,home_cover,53.5,over,172.0,home_win
401867916,Wagner,Robert Morris,7,28,35,-21,Draft Kings,-5.5,away_cover,40.5,under,,away_win
401867916,Wagner,Robert Morris,7,28,35,-21,DraftKings,-5.5,away_cover,40.5,under,-223.0,away_win
401856766,TCU,North Carolina,10,15,25,-5,Bovada,-7.5,away_cover,46.0,under,-235.0,away_win
401856766,TCU,North Carolina,10,15,25,-5,Draft Kings,-7.5,away_cover,46.5,under,,away_win
401856766,TCU,North Carolina,10,15,25,-5,DraftKings,-7.5,away_cover,46.5,under,-310.0,away_win
401906177,West Virginia State,Chowan,56,24,80,32,none,,,,,,
401907012,Davenport,Gannon,32,20,52,12,none,,,,,,
401906641,Wheeling,Thomas More,27,10,37,17,none,,,,,,
401868792,Dayton,Fairmont State,43,20,63,23,none,,,,,,
401907150,William Jewell,Fort Lewis,0,0,0,0,none,,,,,,
401906588,Northeastern State,Delta State,52,0,52,52,none,,,,,,
401907454,American International,Monroe,17,3,20,14,none,,,,,,
401906126,Elizabeth City State,Fort Valley State,14,17,31,-3,none,,,,,,
401906205,Shorter,Andrew,20,24,44,-4,none,,,,,,
