snapshot_date,team,conference,games,off_plays,off_drives,off_ppa,off_success_rate,off_explosiveness,off_power_success,off_stuff_rate,off_line_yards,off_pace,def_plays,def_drives,def_ppa,def_success_rate,def_explosiveness,def_power_success,def_stuff_rate,def_line_yards,def_havoc_total
2026-08-29,North Carolina,ACC,2026,58,10,0.1071523441641766,0.4655172413793103,0.9192743541669988,0.0,0.1481481481481481,3.425925925925926,,72,10,-0.0458685004165221,0.3333333333333333,1.216164722081157,0.8,0.1944444444444444,2.4472222222222224,0.153
2026-08-29,TCU,Big 12,2026,72,10,-0.0458685004165221,0.3333333333333333,1.216164722081157,0.8,0.1944444444444444,2.4472222222222224,,58,10,0.1071523441641766,0.4655172413793103,0.9192743541669988,0.0,0.1481481481481481,3.425925925925926,0.155
2026-09-01,Eastern Michigan,Mid-American,2026,70,14,0.05535149926229747,0.4142857142857143,1.2595736989694382,0.75,0.20689655172413793,2.627586206896552,,64,13,-0.07672478574749307,0.34375,1.032446670964897,0.6666666666666666,0.4375,0.6125,0.219
2026-09-01,Florida State,ACC,2026,67,10,0.2906623399155658,0.44776119402985076,1.3213901556467058,1.0,0.15789473684210525,3.442105263157895,,67,10,0.16265671619005154,0.34328358208955223,1.6364900147680257,1.0,0.1,2.965,0.164
2026-09-01,Hawai'i,Mountain West,2026,76,14,0.04894744398560683,0.35526315789473684,1.2645184587928842,1.0,0.09523809523809523,2.9761904761904763,,73,13,0.3263404896512631,0.4520547945205479,1.2060565569259865,0.8333333333333334,0.13513513513513514,3.027027027027027,0.082
2026-09-01,Jacksonville State,Conference USA,2026,55,11,-0.323923778153237,0.3090909090909091,0.9822393646403389,0.4,0.21428571428571427,2.289285714285714,,69,10,0.21859413945719935,0.42028985507246375,1.1052351273516188,1.0,0.09523809523809523,3.342857142857143,0.101
2026-09-01,Memphis,American Athletic,2026,59,12,0.2880707494141955,0.4745762711864407,1.08802993636074,1.0,0.06060606060606061,4.03030303030303,,81,13,0.09147047509478008,0.3333333333333333,1.4614148789186645,1.0,0.17647058823529413,2.7529411764705882,0.185
2026-09-01,NC State,ACC,2026,51,12,-0.1438403681738571,0.3137254901960784,0.533800638173952,1.0,0.13636363636363635,3.140909090909091,,71,12,0.27262204040865434,0.4788732394366197,1.0612371845133193,0.8333333333333334,0.14285714285714285,3.305357142857143,0.056
2026-09-01,New Mexico State,Conference USA,2026,67,10,0.16265671619005154,0.34328358208955223,1.6364900147680257,1.0,0.1,2.965,,67,10,0.2906623399155658,0.44776119402985076,1.3213901556467058,1.0,0.15789473684210525,3.442105263157895,0.09
2026-09-01,North Carolina,ACC,2026,58,10,0.1071523441641766,0.46551724137931033,0.9192743541669987,0.0,0.14814814814814814,3.425925925925926,,72,10,-0.045868500416522164,0.3333333333333333,1.2161647220811567,0.8,0.19444444444444445,2.4472222222222224,0.153
2026-09-01,North Dakota State,Mountain West,2026,69,10,0.21859413945719935,0.42028985507246375,1.1052351273516188,1.0,0.09523809523809523,3.342857142857143,,55,11,-0.323923778153237,0.3090909090909091,0.9822393646403389,0.4,0.21428571428571427,2.289285714285714,0.182
2026-09-01,Sacramento State,Mid-American,2026,64,13,-0.07672478574749307,0.34375,1.032446670964897,0.6666666666666666,0.4375,0.6125,,70,14,0.05535149926229747,0.4142857142857143,1.2595736989694382,0.75,0.20689655172413793,2.627586206896552,0.157
2026-09-01,San José State,Mountain West,2026,57,10,0.21639919689445156,0.43859649122807015,1.221946227557394,0.0,0.21739130434782608,2.6956521739130435,,77,10,0.39064467803001723,0.6623376623376623,0.8805544125995661,0.9,0.10526315789473684,3.6973684210526314,0.065
2026-09-01,Stanford,ACC,2026,73,13,0.3263404896512631,0.4520547945205479,1.2060565569259865,0.8333333333333334,0.13513513513513514,3.027027027027027,,76,14,0.04894744398560683,0.35526315789473684,1.2645184587928842,1.0,0.09523809523809523,2.9761904761904763,0.184
2026-09-01,TCU,Big 12,2026,72,10,-0.045868500416522164,0.3333333333333333,1.2161647220811567,0.8,0.19444444444444445,2.4472222222222224,,58,10,0.1071523441641766,0.46551724137931033,0.9192743541669987,0.0,0.14814814814814814,3.425925925925926,0.155
2026-09-01,UNLV,Mountain West,2026,81,13,0.09147047509478008,0.3333333333333333,1.4614148789186645,1.0,0.17647058823529413,2.7529411764705882,,59,12,0.2880707494141955,0.4745762711864407,1.08802993636074,1.0,0.06060606060606061,4.03030303030303,0.119
2026-09-01,USC,Big Ten,2026,77,10,0.39064467803001723,0.6623376623376623,0.8805544125995661,0.9,0.10526315789473684,3.6973684210526314,,57,10,0.21639919689445156,0.43859649122807015,1.221946227557394,0.0,0.21739130434782608,2.6956521739130435,0.123
2026-09-01,Virginia,ACC,2026,71,12,0.27262204040865434,0.4788732394366197,1.0612371845133193,0.8333333333333334,0.14285714285714285,3.305357142857143,,51,12,-0.1438403681738571,0.3137254901960784,0.533800638173952,1.0,0.13636363636363635,3.140909090909091,0.255
